process_mode,loss_percent,quantity,is_anomaly,anomaly_type,reason,severity
QUALITY_CONTROL,-22.14,1476.36,True,impossible_yield,Yield exceeds 100% - data entry error,high
QC_FAIL,100.0,586.24,False,,,low
QC_FAIL,100.0,1028.34,False,,,low
QUALITY_CONTROL,22.64,2650.15,False,,,low
RECYCLING,12.5,195.54,False,,,low
SEGREGATION,7.28,452.84,False,,,low
QC_FAIL,100.0,962.0,False,,,low
INWARD,6.71,464964.89,True,extreme_quantity_high,Unusually large quantity (464965kg) for single processing batch,medium
QUALITY_CONTROL,0.06,1815.5,False,,,low
TRANSFER,1.62,431.69,False,,,low
BALING,0.71,166.63,False,,,low
QC_PASS,0.0,401.8,False,,,low
QC_PASS,0.0,317.33,False,,,low
TRANSFER,0.0,446.17,False,,,low
RECYCLING,10.38,140.07,False,,,low
SEGREGATION,14.25,4316.77,False,,,low
BALING,0.47,240.51,False,,,low
QC_FAIL,100.0,792.48,False,,,low
MIXING,-6.01,1533.31,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
QC_PASS,-35.03,1106.83,True,impossible_yield,Yield exceeds 100% - data entry error,high
QUALITY_CONTROL,10.34,495.83,False,,,low
TRANSFER,-25.39,1980.77,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
TRANSFER,30.81,1167.68,True,process_mismatch,High loss (30.8%) for TRANSFER operation (should be <3%),high
QC_FAIL,100.0,759.14,False,,,low
TRANSFER,32.5,658.2,True,process_mismatch,High loss (32.5%) for TRANSFER operation (should be <3%),high
SEGREGATION,4.58,568.71,False,,,low
PRODUCTION,3.15,507.6,False,,,low
TRANSFER,0.84,507.63,False,,,low
TRANSFER,1.68,100.0,False,,,low
MANUFACTURING,3.14,441.96,False,,,low
INWARD,0.0,340.38,False,,,low
RECEIPT,0.0,160.05,False,,,low
TRANSFER,0.59,1724.81,False,,,low
WASHING,4.74,786.1,False,,,low
QC_PASS,0.0,375.68,False,,,low
RECYCLING,3.99,258.38,False,,,low
TRANSFER,-13.98,1891.84,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
QC_PASS,0.0,321.56,False,,,low
QC_PASS,0.0,545.73,False,,,low
WASHING,11.97,768.21,False,,,low
INWARD,0.0,1705.73,False,,,low
TRANSFER,30.84,1237.94,True,process_mismatch,High loss (30.8%) for TRANSFER operation (should be <3%),high
QC_FAIL,100.0,5000.0,False,,,low
SEGREGATION,14.79,348.6,False,,,low
BALING,47.3,576.69,True,high_loss,Unusually high loss (47.3%) for BALING,medium
TRANSFER,0.58,164.85,False,,,low
TRANSFER,1.64,598.0,False,,,low
QUALITY_CONTROL,28.95,807.1,False,,,low
BALING,0.66,483.03,False,,,low
MIXING,-7.92,103.71,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
WASHING,60.74,1612.7,True,high_loss,Unusually high loss (60.7%) for WASHING,high
WASHING,3.85,2001.69,False,,,low
RECEIPT,0.0,1488.98,False,,,low
RECYCLING,8.46,299.24,False,,,low
SEGREGATION,2.36,969.12,False,,,low
SEGREGATION,7.47,223652.35,True,extreme_quantity_high,Unusually large quantity (223652kg) for single processing batch,medium
TRANSFER,1.47,1425.88,False,,,low
BALING,7.18,228154.99,True,extreme_quantity_high,Unusually large quantity (228155kg) for single processing batch,medium
BALING,0.64,1897.86,False,,,low
RECEIPT,0.0,252.81,False,,,low
MIXING,1.55,3029.4,False,,,low
WASHING,9.35,384.05,False,,,low
WASHING,-15.19,1289.96,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
MANUFACTURING,3.0,730.82,False,,,low
TRANSFER,40.0,1554.11,True,process_mismatch,High loss (40.0%) for TRANSFER operation (should be <3%),high
RECYCLING,-39.71,1195.48,True,impossible_yield,Yield exceeds 100% - data entry error,high
SEGREGATION,1.8,1823.8,False,,,low
MIXING,51.62,1908.46,True,high_loss,Unusually high loss (51.6%) for MIXING,high
QUALITY_CONTROL,11.44,680.86,False,,,low
MIXING,1.55,328.47,False,,,low
SEGREGATION,1.35,959.79,False,,,low
RECEIPT,0.0,487.7,False,,,low
MANUFACTURING,3.5,492.19,False,,,low
RECEIPT,0.0,1359.06,False,,,low
WASHING,3.65,489.06,False,,,low
QC_FAIL,100.0,262.53,False,,,low
BALING,-24.04,747.52,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
RECYCLING,10.93,626.73,False,,,low
INWARD,0.0,996.7,False,,,low
QUALITY_CONTROL,4.99,1.09,True,extreme_quantity_low,Unusually small quantity (1.09kg) - inefficient processing,low
PRODUCTION,1.24,2614.49,False,,,low
RECYCLING,4.5,168.32,False,,,low
RECEIPT,0.0,447.66,False,,,low
PRODUCTION,37.73,983.16,True,high_loss,Unusually high loss (37.7%) for PRODUCTION,medium
MIXING,4.79,194820.41,True,extreme_quantity_high,Unusually large quantity (194820kg) for single processing batch,medium
INWARD,0.0,221.87,False,,,low
MIXING,4.37,2.2,True,extreme_quantity_low,Unusually small quantity (2.20kg) - inefficient processing,low
RECEIPT,0.0,361.67,False,,,low
MIXING,1.16,1034.39,False,,,low
PRODUCTION,-15.41,1128.17,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
TRANSFER,37.95,154.92,True,high_loss,Unusually high loss (37.9%) for TRANSFER,medium
QC_FAIL,4.42,400389.53,True,extreme_quantity_high,Unusually large quantity (400390kg) for single processing batch,medium
BALING,0.31,2496.51,False,,,low
