process_mode,input_quantity,source_material,source_state,source_grade,scenario,yield_percent,loss_percent,output_quantity
QC_FAIL,675.89,PVC,GRANULE,Premium,SCN-4,0.26,99.74,1.76
RECYCLING,632.85,PP,FLAKE,Food Grade,SCN-4,94.06,5.94,595.29
MIXING,320.65,PP,PROCESSED,Rejected,SCN-1,94.89,5.11,304.27
QUALITY_CONTROL,674.74,GRANULE,FLAKE,Standard,SCN-1,74.9,25.1,505.39
MIXING,730.79,MIXED,FLAKE,Standard,SCN-2,94.78,5.22,692.67
MIXING,356.35,MIXED,FLAKE,Grade A,SCN-6,95.9,4.1,341.72
TRANSFER,213.22,GRANULE,GRANULE,Food Grade,SCN-2,99.98,0.02,213.18
QC_PASS,897.9,MIXED,SORTED,Rejected,SCN-1,100.0,0.0,897.9
WASHING,769.59,PP,SORTED,Grade B,SCN-4,92.62,7.38,712.77
MIXING,1900.73,PP,SORTED,Food Grade,SCN-5,99.67,0.33,1894.43
WASHING,1453.64,PVC,PROCESSED,Technical Grade,SCN-2,87.96,12.04,1278.59
MIXING,151.5,FLAKE,WASHED,Grade B,SCN-4,100.0,0.0,151.5
BALING,855.32,FLAKE,FLAKE,Food Grade,SCN-3,99.58,0.42,851.76
MANUFACTURING,299.11,PRODUCT,GRANULE,Rejected,SCN-4,91.66,8.34,274.18
RECYCLING,5666.18,PP,RAW,Food Grade,SCN-4,97.67,2.33,5533.92
SEGREGATION,274.85,LDPE,SORTED,Grade B,SCN-4,93.26,6.74,256.31
PRODUCTION,579.77,FLAKE,PROCESSED,Food Grade,SCN-6,99.38,0.62,576.16
WASHING,162.8,PVC,FLAKE,Unknown,SCN-2,86.17,13.83,140.29
RECEIPT,674.62,PVC,SORTED,Food Grade,SCN-5,99.64,0.36,672.16
QC_FAIL,344.11,HDPE,RAW,Standard,SCN-3,0.29,99.71,1.01
PRODUCTION,3925.74,MIXED,FLAKE,Premium,SCN-4,94.5,5.5,3709.78
RECEIPT,488.02,GRANULE,GRANULE,Grade A,SCN-5,99.96,0.04,487.8
QC_FAIL,303.54,FLAKE,GRANULE,Grade A,SCN-3,0.0,100.0,0.0
BALING,181.03,MIXED,BALE,Standard,SCN-4,98.31,1.69,177.97
QC_FAIL,379.43,PET,WASHED,Premium,SCN-5,0.24,99.76,0.9
WASHING,181.24,MIXED,BALE,Grade A,SCN-1,86.1,13.9,156.05
BALING,311.73,GRANULE,SORTED,Unknown,SCN-3,99.51,0.49,310.21
TRANSFER,1227.17,LDPE,BALE,Rejected,SCN-1,97.36,2.64,1194.75
QUALITY_CONTROL,170.17,HDPE,BALE,Grade C,SCN-3,99.55,0.45,169.42
WASHING,1399.28,GRANULE,FLAKE,Food Grade,SCN-3,98.58,1.42,1379.37
PRODUCTION,513.09,FLAKE,BALE,Grade B,SCN-5,99.75,0.25,511.83
TRANSFER,1056.99,PP,WASHED,Unknown,SCN-2,100.0,0.0,1056.99
MANUFACTURING,391.88,GRANULE,FLAKE,Grade C,SCN-6,94.65,5.35,370.91
QUALITY_CONTROL,3264.64,PET,GRANULE,Grade C,SCN-6,78.7,21.3,2569.35
BALING,2504.38,PVC,RAW,Technical Grade,SCN-1,97.85,2.15,2450.56
RECYCLING,3425.89,PET,GRANULE,Food Grade,SCN-5,96.02,3.98,3289.71
RECEIPT,1059.73,LDPE,PROCESSED,Food Grade,SCN-3,99.61,0.39,1055.56
MIXING,447.54,LDPE,PROCESSED,Grade C,SCN-3,94.51,5.49,422.99
BALING,174.95,PP,SORTED,Standard,SCN-4,99.75,0.25,174.52
SEGREGATION,1037.18,PRODUCT,BALE,Technical Grade,SCN-1,91.32,8.68,947.13
WASHING,482.32,MIXED,RAW,Premium,SCN-3,89.3,10.7,430.71
QC_FAIL,133.65,PVC,GRANULE,Premium,SCN-4,0.0,100.0,0.0
SEGREGATION,321.08,PP,PROCESSED,Unknown,SCN-3,88.23,11.77,283.27
MANUFACTURING,308.47,MIXED,BALE,Standard,SCN-3,92.02,7.98,283.86
RECEIPT,291.6,PET,PROCESSED,Grade A,SCN-2,100.0,0.0,291.6
QUALITY_CONTROL,224.57,PRODUCT,WASHED,Grade C,SCN-5,70.15,29.85,157.54
MANUFACTURING,2437.7,LDPE,FLAKE,Grade B,SCN-4,93.68,6.32,2283.56
QUALITY_CONTROL,1431.48,PET,RAW,Premium,SCN-1,93.6,6.4,1339.92
WASHING,1077.58,LDPE,RAW,Food Grade,SCN-1,93.52,6.48,1007.72
RECEIPT,1009.97,GRANULE,RAW,Standard,SCN-3,100.0,0.0,1009.97
RECEIPT,223.27,LDPE,WASHED,Rejected,SCN-5,100.0,0.0,223.27
SEGREGATION,515.52,MIXED,BALE,Grade A,SCN-4,88.51,11.49,456.27
INWARD,483.84,LDPE,SORTED,Grade A,SCN-3,99.87,0.13,483.2
SEGREGATION,534.27,PET,WASHED,Unknown,SCN-3,93.02,6.98,496.97
QUALITY_CONTROL,1399.42,MIXED,GRANULE,Food Grade,SCN-6,71.02,28.98,993.92
QC_PASS,275.37,GRANULE,PROCESSED,Technical Grade,SCN-6,100.0,0.0,275.37
MIXING,379.7,PET,PROCESSED,Food Grade,SCN-5,100.0,0.0,379.7
QC_PASS,1202.95,PET,BALE,Grade B,SCN-4,100.0,0.0,1202.95
BALING,1597.92,PVC,FLAKE,Rejected,SCN-6,98.11,1.89,1567.67
RECYCLING,650.28,HDPE,SORTED,Food Grade,SCN-3,98.2,1.8,638.59
INWARD,1009.69,PET,WASHED,Food Grade,SCN-3,99.86,0.14,1008.31
PRODUCTION,126.15,PP,PROCESSED,Food Grade,SCN-2,99.71,0.29,125.78
RECEIPT,551.46,LDPE,SORTED,Rejected,SCN-5,99.77,0.23,550.16
BALING,1095.63,LDPE,SORTED,Grade C,SCN-4,97.57,2.43,1068.99
QC_FAIL,1575.62,FLAKE,FLAKE,Grade C,SCN-1,0.0,100.0,0.0
QC_FAIL,290.18,HDPE,WASHED,Standard,SCN-4,0.0,100.0,0.0
TRANSFER,573.06,PET,GRANULE,Standard,SCN-1,100.0,0.0,573.06
